TIME,TOTAL_CPU,GET //192.168.165.219:8080/openmrs/ws/rest/v1/person?q=,GET //192.168.165.219:8080/openmrs/ws/rest/v1/person,GET //192.168.165.219:8080/openmrs/ws/rest/v1/encounter?patient=,GET //192.168.165.219:8080/openmrs/ws/rest/v1/concept?q=,GET //192.168.165.219:8080/openmrs/ws/rest/v1/obs?patient=,POST //192.168.165.219:8080/openmrs/ws/rest/v1/person,GET //192.168.165.219:8080/openmrs/ws/rest/v1/encountertype?q=,DELETE //192.168.165.219:8080/openmrs/ws/rest/v1/person
2019-09-27 22:41:39+00:00,6.4,0,0,0,0,0,0,0,0
2019-09-27 22:42:09+00:00,31.1,0,0,0,0,0,0,0,0
2019-09-27 22:42:39+00:00,16.2,0,0,0,0,0,0,0,0
2019-09-27 22:43:09+00:00,17.21,0,0,0,0,0,0,0,0
2019-09-27 22:43:39+00:00,40.19,81,65,35,45,29,69,44,12
2019-09-27 22:44:09+00:00,80.5,52,59,32,38,19,44,46,11
2019-09-27 22:44:39+00:00,82.91,58,36,39,77,18,79,74,42
2019-09-27 22:45:09+00:00,90.76,60,31,34,112,22,104,93,54
2019-09-27 22:45:39+00:00,89.07,44,15,28,92,15,93,97,43
2019-09-27 22:46:09+00:00,87.0,54,29,25,99,12,91,96,43
2019-09-27 22:46:39+00:00,88.38,61,32,42,111,31,120,108,65
2019-09-27 22:47:09+00:00,89.82,56,36,53,83,24,99,106,60
2019-09-27 22:47:39+00:00,89.06,71,32,69,125,35,128,157,70
2019-09-27 22:48:09+00:00,90.51,49,35,46,61,16,86,91,45
2019-09-27 22:48:39+00:00,86.76,44,33,50,74,20,83,104,39
2019-09-27 22:49:09+00:00,75.81,55,45,28,64,33,78,35,21
2019-09-27 22:49:39+00:00,91.54,42,28,33,74,20,61,65,27
2019-09-27 22:50:09+00:00,93.66,42,28,35,88,27,94,78,43
2019-09-27 22:50:39+00:00,90.42,38,22,33,123,17,85,75,37
2019-09-27 22:51:09+00:00,87.88,54,25,37,118,23,79,74,39
2019-09-27 22:51:39+00:00,93.53,48,29,38,83,14,79,79,40
2019-09-27 22:52:09+00:00,88.49,46,31,47,94,38,76,104,40
2019-09-27 22:52:39+00:00,89.34,57,38,50,98,31,95,113,52
2019-09-27 22:53:09+00:00,90.73,37,31,31,80,30,72,90,36
2019-09-27 22:53:39+00:00,88.97,58,27,36,82,29,98,104,42
2019-09-27 22:54:09+00:00,91.94,21,16,18,32,9,41,57,23
2019-09-27 22:54:39+00:00,65.65,65,63,31,77,18,84,13,20
2019-09-27 22:55:09+00:00,88.41,42,28,15,48,14,26,15,6
2019-09-27 22:55:39+00:00,82.62,55,22,19,149,16,101,64,57
2019-09-27 22:56:09+00:00,86.09,31,18,11,96,8,54,39,36
2019-09-27 22:56:39+00:00,86.63,36,33,21,134,15,110,71,43
2019-09-27 22:57:09+00:00,87.68,34,33,12,119,9,73,39,38
2019-09-27 22:57:39+00:00,84.59,49,24,19,107,26,96,88,47
2019-09-27 22:58:09+00:00,87.14,33,27,17,79,20,77,50,38
2019-09-27 22:58:39+00:00,86.58,37,28,31,136,23,122,97,57
2019-09-27 22:59:09+00:00,85.73,36,16,29,74,13,60,64,42
2019-09-27 22:59:39+00:00,84.57,23,13,22,42,13,53,86,22
2019-09-27 23:00:09+00:00,53.28,53,51,35,50,33,78,40,24
2019-09-27 23:00:39+00:00,55.84,7,10,3,8,2,11,6,3
2019-09-27 23:01:09+00:00,53.62,10,10,8,7,4,12,8,2
2019-09-27 23:01:39+00:00,54.34,11,11,4,11,4,6,8,1
2019-09-27 23:02:09+00:00,54.28,5,4,1,5,0,7,4,4
2019-09-27 23:02:39+00:00,53.66,12,11,7,9,4,5,13,8
2019-09-27 23:03:09+00:00,54.62,13,8,12,17,4,16,21,10
2019-09-27 23:03:39+00:00,54.33,12,4,11,18,7,12,19,5
2019-09-27 23:04:09+00:00,54.11,9,4,4,22,1,17,14,3
2019-09-27 23:04:39+00:00,53.29,8,7,4,18,0,15,16,9
2019-09-27 23:05:09+00:00,55.05,20,11,10,45,0,28,29,20
2019-09-27 23:05:39+00:00,57.16,2,0,1,1,0,3,2,0
2019-09-27 23:06:09+00:00,57.3,2,1,2,5,11,11,0,7
2019-09-27 23:06:39+00:00,57.09,0,1,4,5,13,8,2,6
2019-09-27 23:07:09+00:00,49.03,26,29,23,24,17,30,11,12
2019-09-27 23:07:39+00:00,52.86,13,22,10,17,7,22,3,1
2019-09-27 23:08:09+00:00,51.66,8,3,7,5,3,4,1,0
2019-09-27 23:08:39+00:00,50.82,6,8,0,5,2,4,1,0
2019-09-27 23:09:09+00:00,50.39,7,2,3,7,6,7,1,5
2019-09-27 23:09:39+00:00,49.96,1,2,0,5,2,5,1,2
2019-09-27 23:10:09+00:00,49.94,3,9,3,11,7,5,3,3
2019-09-27 23:10:39+00:00,49.77,9,6,6,12,0,6,1,4
2019-09-27 23:11:09+00:00,50.61,6,11,4,15,1,7,2,5
2019-09-27 23:11:39+00:00,50.15,10,1,1,14,6,6,2,6
2019-09-27 23:12:09+00:00,49.64,7,6,1,15,1,10,1,6
2019-09-27 23:12:39+00:00,49.33,2,3,3,18,4,8,5,3
2019-09-27 23:13:09+00:00,49.09,1,0,1,2,0,3,0,1
2019-09-27 23:13:39+00:00,49.12,0,0,0,0,0,0,0,0
2019-09-27 23:14:09+00:00,49.55,0,0,0,0,0,0,0,0
2019-09-27 23:14:39+00:00,50.45,0,0,0,0,0,0,0,0
2019-09-27 23:15:09+00:00,52.16,0,0,0,0,0,0,0,0
2019-09-27 23:15:39+00:00,53.94,0,0,0,0,0,0,0,0
2019-09-27 23:16:09+00:00,49.82,0,0,0,0,0,0,0,0
2019-09-27 23:16:39+00:00,46.39,4,5,5,5,12,17,2,4
2019-09-27 23:17:09+00:00,50.96,36,40,21,29,25,32,6,5
2019-09-27 23:17:39+00:00,50.73,1,3,0,3,0,2,1,0
2019-09-27 23:18:09+00:00,50.06,1,4,0,1,1,0,3,0
2019-09-27 23:18:39+00:00,51.87,6,2,1,2,0,3,1,0
2019-09-27 23:19:09+00:00,52.95,2,12,2,3,3,3,0,0
2019-09-27 23:19:39+00:00,53.37,6,5,1,3,5,6,0,0
2019-09-27 23:20:09+00:00,52.95,2,5,3,2,2,4,2,0
2019-09-27 23:20:39+00:00,52.09,9,2,3,2,2,5,2,1
2019-09-27 23:21:09+00:00,51.56,5,2,3,5,1,4,3,0
2019-09-27 23:21:39+00:00,51.49,5,5,4,5,3,0,2,0
2019-09-27 23:22:09+00:00,51.22,2,2,2,4,3,3,2,0
2019-09-27 23:22:39+00:00,51.15,1,8,2,6,2,5,1,0
2019-09-27 23:23:09+00:00,51.02,6,10,6,12,1,9,5,0
